SEND to VM 2 | System Time: 1741195268.6474 | Logical Clock: 212 | Message Clock Sent: 211
SEND to VMs 1, 2 | System Time: 1741195268.8203 | Logical Clock: 213 | Message Clock Sent: 212
INTERNAL | System Time: 1741195268.9906 | Logical Clock: 214 | 
SEND to VMs 1, 2 | System Time: 1741195269.1618 | Logical Clock: 215 | Message Clock Sent: 214
SEND to VM 1 | System Time: 1741195269.3362 | Logical Clock: 216 | Message Clock Sent: 215
SEND to VM 1 | System Time: 1741195269.5101 | Logical Clock: 217 | Message Clock Sent: 216
INTERNAL | System Time: 1741195269.6833 | Logical Clock: 218 | 
INTERNAL | System Time: 1741195269.8552 | Logical Clock: 219 | 
SEND to VM 1 | System Time: 1741195270.0238 | Logical Clock: 220 | Message Clock Sent: 219
SEND to VM 2 | System Time: 1741195270.1974 | Logical Clock: 221 | Message Clock Sent: 220
SEND to VMs 1, 2 | System Time: 1741195270.3681 | Logical Clock: 222 | Message Clock Sent: 221
SEND to VM 1 | System Time: 1741195270.5428 | Logical Clock: 223 | Message Clock Sent: 222
SEND to VMs 1, 2 | System Time: 1741195270.7139 | Logical Clock: 224 | Message Clock Sent: 223
INTERNAL | System Time: 1741195270.8881 | Logical Clock: 225 | 
SEND to VMs 1, 2 | System Time: 1741195271.0580 | Logical Clock: 226 | Message Clock Sent: 225
SEND to VM 1 | System Time: 1741195271.2318 | Logical Clock: 227 | Message Clock Sent: 226
SEND to VM 1 | System Time: 1741195271.4045 | Logical Clock: 228 | Message Clock Sent: 227
SEND to VM 1 | System Time: 1741195271.5745 | Logical Clock: 229 | Message Clock Sent: 228
INTERNAL | System Time: 1741195271.7466 | Logical Clock: 230 | 
SEND to VMs 1, 2 | System Time: 1741195271.9151 | Logical Clock: 231 | Message Clock Sent: 230
SEND to VM 1 | System Time: 1741195272.0897 | Logical Clock: 232 | Message Clock Sent: 231
INTERNAL | System Time: 1741195272.2625 | Logical Clock: 233 | 
INTERNAL | System Time: 1741195272.4349 | Logical Clock: 234 | 
SEND to VM 2 | System Time: 1741195272.6066 | Logical Clock: 235 | Message Clock Sent: 234
SEND to VM 2 | System Time: 1741195272.7920 | Logical Clock: 236 | Message Clock Sent: 235
SEND to VM 1 | System Time: 1741195272.9921 | Logical Clock: 237 | Message Clock Sent: 236
SEND to VM 1 | System Time: 1741195273.1648 | Logical Clock: 238 | Message Clock Sent: 237
SEND to VM 1 | System Time: 1741195273.3349 | Logical Clock: 239 | Message Clock Sent: 238
SEND to VM 2 | System Time: 1741195273.5079 | Logical Clock: 240 | Message Clock Sent: 239
SEND to VM 2 | System Time: 1741195273.6800 | Logical Clock: 241 | Message Clock Sent: 240
SEND to VM 2 | System Time: 1741195273.8525 | Logical Clock: 242 | Message Clock Sent: 241
INTERNAL | System Time: 1741195274.0248 | Logical Clock: 243 | 
INTERNAL | System Time: 1741195274.1967 | Logical Clock: 244 | 
SEND to VM 2 | System Time: 1741195274.3690 | Logical Clock: 245 | Message Clock Sent: 244
SEND to VM 1 | System Time: 1741195274.5399 | Logical Clock: 246 | Message Clock Sent: 245
INTERNAL | System Time: 1741195274.7133 | Logical Clock: 247 | 
SEND to VM 2 | System Time: 1741195274.8855 | Logical Clock: 248 | Message Clock Sent: 247
SEND to VM 2 | System Time: 1741195275.0577 | Logical Clock: 249 | Message Clock Sent: 248
SEND to VM 1 | System Time: 1741195275.2264 | Logical Clock: 250 | Message Clock Sent: 249
SEND to VM 1 | System Time: 1741195275.3957 | Logical Clock: 251 | Message Clock Sent: 250
SEND to VM 1 | System Time: 1741195275.5695 | Logical Clock: 252 | Message Clock Sent: 251
SEND to VM 1 | System Time: 1741195275.7432 | Logical Clock: 253 | Message Clock Sent: 252
SEND to VMs 1, 2 | System Time: 1741195275.9166 | Logical Clock: 254 | Message Clock Sent: 253
SEND to VM 1 | System Time: 1741195276.0891 | Logical Clock: 255 | Message Clock Sent: 254
INTERNAL | System Time: 1741195276.2600 | Logical Clock: 256 | 
INTERNAL | System Time: 1741195276.4289 | Logical Clock: 257 | 
SEND to VM 1 | System Time: 1741195276.6013 | Logical Clock: 258 | Message Clock Sent: 257
SEND to VMs 1, 2 | System Time: 1741195276.7730 | Logical Clock: 259 | Message Clock Sent: 258
SEND to VMs 1, 2 | System Time: 1741195276.9455 | Logical Clock: 260 | Message Clock Sent: 259
SEND to VM 1 | System Time: 1741195277.1192 | Logical Clock: 261 | Message Clock Sent: 260
SEND to VMs 1, 2 | System Time: 1741195277.2914 | Logical Clock: 262 | Message Clock Sent: 261
SEND to VM 1 | System Time: 1741195277.4625 | Logical Clock: 263 | Message Clock Sent: 262
INTERNAL | System Time: 1741195277.6354 | Logical Clock: 264 | 
INTERNAL | System Time: 1741195277.8074 | Logical Clock: 265 | 
SEND to VM 2 | System Time: 1741195277.9798 | Logical Clock: 266 | Message Clock Sent: 265
INTERNAL | System Time: 1741195278.1530 | Logical Clock: 267 | 
SEND to VM 2 | System Time: 1741195278.3248 | Logical Clock: 268 | Message Clock Sent: 267
SEND to VM 1 | System Time: 1741195278.4935 | Logical Clock: 269 | Message Clock Sent: 268
SEND to VM 1 | System Time: 1741195278.6685 | Logical Clock: 270 | Message Clock Sent: 269
INTERNAL | System Time: 1741195278.8391 | Logical Clock: 271 | 
SEND to VMs 1, 2 | System Time: 1741195279.0073 | Logical Clock: 272 | Message Clock Sent: 271
SEND to VM 2 | System Time: 1741195279.1786 | Logical Clock: 273 | Message Clock Sent: 272
SEND to VM 1 | System Time: 1741195279.3471 | Logical Clock: 274 | Message Clock Sent: 273
SEND to VMs 1, 2 | System Time: 1741195279.5192 | Logical Clock: 275 | Message Clock Sent: 274
SEND to VM 1 | System Time: 1741195279.6883 | Logical Clock: 276 | Message Clock Sent: 275
SEND to VMs 1, 2 | System Time: 1741195279.8576 | Logical Clock: 277 | Message Clock Sent: 276
INTERNAL | System Time: 1741195280.0265 | Logical Clock: 278 | 
INTERNAL | System Time: 1741195280.1960 | Logical Clock: 279 | 
SEND to VMs 1, 2 | System Time: 1741195280.3673 | Logical Clock: 280 | Message Clock Sent: 279
SEND to VM 2 | System Time: 1741195280.5369 | Logical Clock: 281 | Message Clock Sent: 280
SEND to VMs 1, 2 | System Time: 1741195280.7097 | Logical Clock: 282 | Message Clock Sent: 281
SEND to VMs 1, 2 | System Time: 1741195280.8807 | Logical Clock: 283 | Message Clock Sent: 282
SEND to VMs 1, 2 | System Time: 1741195281.0513 | Logical Clock: 284 | Message Clock Sent: 283
INTERNAL | System Time: 1741195281.2240 | Logical Clock: 285 | 
SEND to VM 2 | System Time: 1741195281.3945 | Logical Clock: 286 | Message Clock Sent: 285
SEND to VM 1 | System Time: 1741195281.5669 | Logical Clock: 287 | Message Clock Sent: 286
SEND to VM 2 | System Time: 1741195281.7393 | Logical Clock: 288 | Message Clock Sent: 287
INTERNAL | System Time: 1741195281.9105 | Logical Clock: 289 | 
INTERNAL | System Time: 1741195282.0810 | Logical Clock: 290 | 
SEND to VM 2 | System Time: 1741195282.2535 | Logical Clock: 291 | Message Clock Sent: 290
SEND to VM 1 | System Time: 1741195282.4244 | Logical Clock: 292 | Message Clock Sent: 291
INTERNAL | System Time: 1741195282.5959 | Logical Clock: 293 | 
SEND to VMs 1, 2 | System Time: 1741195282.7681 | Logical Clock: 294 | Message Clock Sent: 293
SEND to VMs 1, 2 | System Time: 1741195282.9397 | Logical Clock: 295 | Message Clock Sent: 294
SEND to VMs 1, 2 | System Time: 1741195283.1126 | Logical Clock: 296 | Message Clock Sent: 295
INTERNAL | System Time: 1741195283.2860 | Logical Clock: 297 | 
SEND to VM 2 | System Time: 1741195283.4546 | Logical Clock: 298 | Message Clock Sent: 297
SEND to VM 2 | System Time: 1741195283.6280 | Logical Clock: 299 | Message Clock Sent: 298
SEND to VM 1 | System Time: 1741195283.8001 | Logical Clock: 300 | Message Clock Sent: 299
SEND to VMs 1, 2 | System Time: 1741195283.9696 | Logical Clock: 301 | Message Clock Sent: 300
INTERNAL | System Time: 1741195284.1424 | Logical Clock: 302 | 
SEND to VM 2 | System Time: 1741195284.3139 | Logical Clock: 303 | Message Clock Sent: 302
SEND to VM 2 | System Time: 1741195284.4845 | Logical Clock: 304 | Message Clock Sent: 303
SEND to VM 1 | System Time: 1741195284.6563 | Logical Clock: 305 | Message Clock Sent: 304
SEND to VM 1 | System Time: 1741195284.8251 | Logical Clock: 306 | Message Clock Sent: 305
SEND to VM 1 | System Time: 1741195284.9952 | Logical Clock: 307 | Message Clock Sent: 306
INTERNAL | System Time: 1741195285.1697 | Logical Clock: 308 | 
SEND to VM 2 | System Time: 1741195285.3433 | Logical Clock: 309 | Message Clock Sent: 308
SEND to VMs 1, 2 | System Time: 1741195285.5144 | Logical Clock: 310 | Message Clock Sent: 309
SEND to VM 1 | System Time: 1741195285.6866 | Logical Clock: 311 | Message Clock Sent: 310
